benchmark_type,rows,cols,bucket_duration,seq_duration
A,10,1000,0.110919,0.616239
B,10,1000,0.0937416,0.54091
C,10,1000,0.548218,0.550322
A,20,500,0.0491219,0.55137
B,20,500,0.0534506,0.545863
C,20,500,0.516194,0.540109
A,100,100,0.0142869,0.540099
B,100,100,0.0147796,0.542119
C,100,100,0.351603,0.543137
A,1000,10,0.0120573,0.545698
B,1000,10,0.0127637,0.541913
C,1000,10,0.548161,0.545975
A,5000,2,0.0316807,0.541623
B,5000,2,0.0321966,0.541485
C,5000,2,1.99361,0.53986
A,10,1000,0.0933857,0.550246
B,10,1000,0.0996801,0.54952
C,10,1000,0.559411,0.541743
A,20,500,0.0491858,0.544792
B,20,500,0.0494449,0.540905
C,20,500,0.506569,0.546324
A,100,100,0.0142787,0.541716
B,100,100,0.0147364,0.552005
C,100,100,0.36339,0.563393
A,1000,10,0.0124967,0.548416
B,1000,10,0.0126601,0.549899
C,1000,10,0.57235,0.577126
A,5000,2,0.0316816,0.556385
B,5000,2,0.032143,0.541885
C,5000,2,2.00771,0.53962
A,10,1000,0.0933217,0.539656
B,10,1000,0.0941128,0.541094
C,10,1000,0.547327,0.539483
A,20,500,0.0489056,0.539903
B,20,500,0.0494181,0.541207
C,20,500,0.502003,0.549895
A,100,100,0.014297,0.550847
B,100,100,0.0147376,0.541478
C,100,100,0.351758,0.540437
A,1000,10,0.0120979,0.539779
B,1000,10,0.0127122,0.541433
C,1000,10,0.548442,0.539512
A,5000,2,0.0311192,0.540471
B,5000,2,0.0321744,0.541596
C,5000,2,1.99366,0.539738
A,10,1000,0.0934042,0.540757
B,10,1000,0.0937424,0.541542
C,10,1000,0.54731,0.539483
A,20,500,0.0488378,0.542253
B,20,500,0.0494275,0.541169
C,20,500,0.501869,0.539536
A,100,100,0.0142815,0.540269
B,100,100,0.0147438,0.541753
C,100,100,0.351556,0.540123
A,1000,10,0.0121287,0.560531
B,1000,10,0.0133471,0.557284
C,1000,10,0.552338,0.541683
A,5000,2,0.0328734,0.544076
B,5000,2,0.032202,0.542806
C,5000,2,1.9943,0.539574
A,10,1000,0.0933485,0.541089
B,10,1000,0.0937568,0.541798
C,10,1000,0.547171,0.539778
A,20,500,0.0488755,0.546831
B,20,500,0.0494241,0.541168
C,20,500,0.501696,0.541468
A,100,100,0.0142709,0.585094
B,100,100,0.0156587,0.589186
C,100,100,0.382137,0.567566
A,1000,10,0.0130405,0.573886
B,1000,10,0.0136454,0.578989
C,1000,10,0.551254,0.539643
A,5000,2,0.0310225,0.539782
B,5000,2,0.0320601,0.543601
C,5000,2,1.99683,0.53968
