benchmark_type,rows,cols,bucket_duration,seq_duration
A,100,1000,0.111786,5.47803
B,100,1000,0.095471,5.39795
C,100,1000,5.14068,5.44705
A,200,500,0.0513813,5.43796
B,200,500,0.0519172,5.45281
C,200,500,4.88369,5.4292
A,500,200,0.0265509,5.36287
B,500,200,0.0271902,5.38368
C,500,200,3.99427,5.36605
A,1000,100,0.0203855,5.36203
B,1000,100,0.0207585,5.36297
C,1000,100,3.45541,5.35877
A,5000,20,0.0334678,5.36606
B,5000,20,0.0341644,5.35884
C,5000,20,3.60541,5.35774
A,100,1000,0.0949007,5.35789
B,100,1000,0.0953425,5.35826
C,100,1000,5.11407,5.40893
A,200,500,0.0513379,5.38188
B,200,500,0.0518047,5.38966
C,200,500,4.8307,5.36849
A,500,200,0.0265267,5.37797
B,500,200,0.0271893,5.37581
C,500,200,4.00115,5.36424
A,1000,100,0.0205337,5.3772
B,1000,100,0.0207132,5.37956
C,1000,100,3.45402,5.36448
A,5000,20,0.0335313,5.37193
B,5000,20,0.0341552,5.37322
C,5000,20,3.62165,5.36323
A,100,1000,0.0949039,5.37923
B,100,1000,0.0954305,5.41673
C,100,1000,5.18477,5.43373
A,200,500,0.0513628,5.41562
B,200,500,0.0518606,5.41826
C,200,500,4.82985,5.3649
A,500,200,0.026612,5.37792
B,500,200,0.0269386,5.37816
C,500,200,4.00421,5.36594
A,1000,100,0.0203568,5.36673
B,1000,100,0.0207365,5.39755
C,1000,100,3.45383,5.36818
A,5000,20,0.0337052,5.39702
B,5000,20,0.0343095,5.40402
C,5000,20,3.65648,5.36216
A,100,1000,0.0948952,5.39548
B,100,1000,0.0953865,5.40002
C,100,1000,5.11975,5.36737
A,200,500,0.0513473,5.3761
B,200,500,0.0517617,5.36693
C,200,500,4.84702,5.37136
A,500,200,0.0265639,5.38314
B,500,200,0.0270036,5.38142
C,500,200,4.00873,5.3648
A,1000,100,0.0203967,5.39237
B,1000,100,0.0207981,5.38226
C,1000,100,3.46107,5.36758
A,5000,20,0.0335816,5.38376
B,5000,20,0.0341482,5.3681
C,5000,20,3.62438,5.37071
A,100,1000,0.0949878,5.37536
B,100,1000,0.0955485,5.38312
C,100,1000,5.1177,5.38795
A,200,500,0.0516508,5.41293
B,200,500,0.0517779,5.45353
C,200,500,4.84135,5.38459
A,500,200,0.0265422,5.48281
B,500,200,0.0280794,5.42985
C,500,200,4.01364,5.3735
A,1000,100,0.0205113,5.40717
B,1000,100,0.0208684,5.4139
C,1000,100,3.88368,5.40198
A,5000,20,0.0348299,5.40868
B,5000,20,0.0343409,5.44713
C,5000,20,3.63332,5.39142
