benchmark_type,rows,cols,bucket_duration,seq_duration
A,10,100,0.0152811,0.0681967
B,10,100,0.015468,0.0686128
C,10,100,0.0495165,0.0679356
A,20,50,0.010078,0.0680117
B,20,50,0.0109168,0.0684941
C,20,50,0.0429613,0.0676503
A,50,20,0.00750459,0.0683263
B,50,20,0.00757815,0.0585346
C,50,20,0.040223,0.0574278
A,100,10,0.00593311,0.0575743
B,100,10,0.00665386,0.0575137
C,100,10,0.0583254,0.0574542
A,10,100,0.0127189,0.0577774
B,10,100,0.0131865,0.0580387
C,10,100,0.0420085,0.0576955
A,20,50,0.00861293,0.0575904
B,20,50,0.00901306,0.0574946
C,20,50,0.0355953,0.0574425
A,50,20,0.00635916,0.0575439
B,50,20,0.0067927,0.057519
C,50,20,0.0422764,0.0613506
A,100,10,0.00641305,0.0605004
B,100,10,0.00670685,0.05838
C,100,10,0.059519,0.0575013
A,10,100,0.012606,0.0578582
B,10,100,0.0131529,0.0575405
C,10,100,0.0416373,0.0574025
A,20,50,0.00855555,0.0575597
B,20,50,0.00901505,0.057715
C,20,50,0.0358444,0.0574164
A,50,20,0.00636691,0.0575481
B,50,20,0.00678312,0.0575246
C,50,20,0.0403753,0.0578514
A,100,10,0.00590934,0.0576272
B,100,10,0.00664669,0.057808
C,100,10,0.058752,0.0574708
A,10,100,0.0125963,0.0577623
B,10,100,0.013124,0.0579411
C,10,100,0.0419787,0.0582471
A,20,50,0.00859511,0.058101
B,20,50,0.0091005,0.0578597
C,20,50,0.0357534,0.0574172
A,50,20,0.00637301,0.0577178
B,50,20,0.00679112,0.0575134
C,50,20,0.0421962,0.0620716
A,100,10,0.00634002,0.0611816
B,100,10,0.00692764,0.0586455
C,100,10,0.0590075,0.0587842
A,10,100,0.0130841,0.0576374
B,10,100,0.0131079,0.057469
C,10,100,0.042042,0.0575368
A,20,50,0.00857711,0.0583136
B,20,50,0.00903317,0.0590172
C,20,50,0.0364128,0.0583728
A,50,20,0.00645808,0.0585395
B,50,20,0.00698689,0.0585959
C,50,20,0.0410766,0.0578307
A,100,10,0.0059658,0.0577647
B,100,10,0.00669506,0.0578211
C,100,10,0.0592213,0.057488
